# neuroc1 3/9/2022 2:40 PM
time Delta Theta Alpha1 Alpha2 Beta1 Beta2 Gamma1 Gamma2 Attention Meditation Derived totPwr  class 
# LogStarts: HEAD_SET 3/9/2022 -- 2:40 PM: obs 0
# StartBaseline:  3/9/2022 -- 2:40 PM: obs 0
1 7.3 104132 40624 3550 20545 12831 5142 2106 504 43 44 NA 189434  X*
2 8.2 34894 22706 1407 3374 7347 1841 901 994 43 35 NA 73464  X*
3 11.0 230758 213188 16248 82931 19118 30739 4062 3849 51 38 NA 600893  X*
4 12.0 381521 141266 87378 13178 36096 11679 9988 2113 41 43 NA 683219  X*
5 13.0 1774720 55102 16570 21292 4651 6230 556 1102 41 63 NA 1880223  X*
6 14.0 225750 62527 30978 15345 6878 4206 887 426 24 70 NA 346997  X*
7 15.0 2139622 92642 16959 17219 3719 2220 1028 1678 8 77 NA 2275087  X*
8 16.0 1306023 100055 49790 23971 10829 7146 4406 1668 8 78 NA 1503888  X*
9 17.0 86865 5687 2496 507 557 680 159 48 11 75 NA 96999  X*
10 18.0 668567 111194 69228 10918 14007 6796 2127 1490 13 70 NA 884327  X*
11 19.0 876026 48492 7036 11734 6157 14405 2862 2155 50 67 NA 968867  X*
12 20.0 102872 56246 15975 13038 14200 2349 2407 691 44 61 NA 207778  X*
13 21.0 68826 46134 17915 11637 6457 6238 1251 1403 47 63 NA 159861  X*
14 22.0 23734 51792 8197 9108 6948 5702 7301 1961 57 53 NA 114743  X*
15 23.0 91097 38693 23898 4012 5056 9130 5949 6148 50 63 NA 183983  X*
16 24.0 292936 20375 12593 9940 6994 2577 1249 1484 61 74 NA 348148  X*
17 25.0 97403 143843 90540 20977 14832 37420 4896 2816 69 75 NA 412727  X*
18 26.0 3118265 269863 116025 93425 27257 27135 9032 4906 64 88 NA 3665908  X*
19 27.0 240073 8570 3496 14741 6644 1238 990 695 50 97 NA 276447  X*
20 28.0 62389 13604 11818 13775 13550 4100 637 422 57 97 NA 120295  X*
21 29.0 81327 28751 9411 12313 23262 4595 1701 761 51 91 NA 162121  X*
22 30.0 29671 9397 5291 51254 6781 19987 3969 2253 75 100 NA 128603  X*
23 31.0 180365 14660 4594 3774 7025 5465 1351 801 100 84 NA 218035  X*
24 32.0 1923 9407 20030 35394 11830 6021 5559 1883 94 91 NA 92047  X*
25 33.0 8853 9943 4502 50022 26282 8853 3121 1335 100 100 NA 112911  X*
